,ID,Name,Age,Photo,Nationality,Flag,Potential,Club Logo,Value,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Real Face,Jersey Number,Joined,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,WorkFront,WorkBack
1067,216466,Wendell,24,https://cdn.sofifa.org/players/4/19/216466.png,Brazil,https://cdn.sofifa.org/flags/54.png,80,https://cdn.sofifa.org/teams/2/light/32.png,9500000.0,2009,Left,2.0,2.0,4.0,No,18.0,"Jul 1, 2014",5.10,72.27,65.0,65.0,65.0,74.0,71.0,71.0,71.0,74.0,73.0,73.0,73.0,76.0,74.0,74.0,74.0,76.0,79.0,76.0,76.0,76.0,79.0,78.0,74.0,74.0,74.0,78.0,78.0,37.0,53.0,77.0,29.0,79.0,66.0,75.0,65.0,78.0,87.0,79.0,78.0,75.0,77.0,60.0,68.0,77.0,64.0,59.0,87.0,75.0,69.0,69.0,67.0,72.0,72.0,75.0,80.0,8.0,12.0,6.0,14.0,14.0,High, Medium
1359,176483,D. Chygrynskyi,31,https://cdn.sofifa.org/players/4/19/176483.png,Ukraine,https://cdn.sofifa.org/flags/49.png,76,https://cdn.sofifa.org/teams/2/light/278.png,5000000.0,1612,Right,2.0,3.0,2.0,No,19.0,"Jul 1, 2016",6.2,85.0,53.0,53.0,53.0,49.0,51.0,51.0,51.0,49.0,54.0,54.0,54.0,53.0,62.0,62.0,62.0,53.0,65.0,73.0,73.0,73.0,65.0,68.0,76.0,76.0,76.0,68.0,40.0,32.0,76.0,69.0,32.0,35.0,43.0,48.0,72.0,58.0,48.0,52.0,40.0,68.0,42.0,53.0,55.0,66.0,87.0,42.0,76.0,74.0,36.0,59.0,38.0,67.0,75.0,80.0,75.0,7.0,11.0,6.0,7.0,10.0,Medium, Medium
14537,228053,S. Harrison,20,https://cdn.sofifa.org/players/4/19/228053.png,England,https://cdn.sofifa.org/flags/14.png,72,https://cdn.sofifa.org/teams/2/light/18.png,450000.0,1473,Left,1.0,3.0,3.0,No,39.0,"Dec 24, 2015",6.0,68.18,62.0,62.0,62.0,61.0,61.0,61.0,61.0,61.0,59.0,59.0,59.0,59.0,51.0,51.0,51.0,59.0,43.0,40.0,40.0,40.0,43.0,41.0,37.0,37.0,37.0,41.0,45.0,62.0,57.0,51.0,47.0,61.0,42.0,27.0,41.0,59.0,75.0,73.0,73.0,59.0,70.0,57.0,65.0,63.0,62.0,50.0,49.0,14.0,61.0,47.0,63.0,52.0,21.0,16.0,12.0,11.0,7.0,10.0,12.0,11.0,High, Medium
14055,237605,H. Adıgüzel,18,https://cdn.sofifa.org/players/4/19/237605.png,Turkey,https://cdn.sofifa.org/flags/48.png,77,https://cdn.sofifa.org/teams/2/light/111340.png,525000.0,1621,Right,1.0,3.0,2.0,No,41.0,"Apr 3, 2017",5.10,78.18,59.0,59.0,59.0,60.0,61.0,61.0,61.0,60.0,62.0,62.0,62.0,59.0,61.0,61.0,61.0,59.0,57.0,60.0,60.0,60.0,57.0,57.0,58.0,58.0,58.0,57.0,42.0,55.0,51.0,65.0,32.0,60.0,44.0,41.0,63.0,64.0,64.0,61.0,73.0,62.0,66.0,68.0,59.0,46.0,60.0,64.0,58.0,49.0,45.0,60.0,54.0,41.0,60.0,56.0,55.0,8.0,6.0,12.0,8.0,10.0,Medium, Medium
6309,193461,Fredy,28,https://cdn.sofifa.org/players/4/19/193461.png,Angola,https://cdn.sofifa.org/flags/98.png,69,https://cdn.sofifa.org/teams/2/light/1889.png,1100000.0,1717,Right,1.0,3.0,4.0,No,16.0,"Jul 1, 2017",5.7,68.18,65.0,65.0,65.0,70.0,68.0,68.0,68.0,70.0,68.0,68.0,68.0,69.0,60.0,60.0,60.0,69.0,51.0,46.0,46.0,46.0,51.0,47.0,39.0,39.0,39.0,47.0,65.0,61.0,45.0,63.0,60.0,70.0,66.0,61.0,59.0,69.0,89.0,90.0,89.0,66.0,86.0,65.0,66.0,49.0,50.0,59.0,53.0,23.0,62.0,60.0,70.0,69.0,27.0,17.0,16.0,10.0,13.0,15.0,16.0,7.0,High, Medium
6652,239627,A. Zreľák,24,https://cdn.sofifa.org/players/4/19/239627.png,Slovakia,https://cdn.sofifa.org/flags/43.png,73,https://cdn.sofifa.org/teams/2/light/171.png,1200000.0,1608,Left,1.0,4.0,3.0,No,11.0,"Jul 7, 2017",6.0,79.09,68.0,68.0,68.0,61.0,63.0,63.0,63.0,61.0,59.0,59.0,59.0,59.0,53.0,53.0,53.0,59.0,46.0,45.0,45.0,45.0,46.0,45.0,46.0,46.0,46.0,45.0,38.0,68.0,73.0,48.0,69.0,59.0,45.0,41.0,39.0,64.0,68.0,69.0,65.0,64.0,65.0,70.0,67.0,63.0,77.0,57.0,71.0,25.0,69.0,43.0,68.0,58.0,27.0,26.0,19.0,13.0,14.0,7.0,10.0,7.0,Medium, Medium
16090,236437,J. Sbarra,19,https://cdn.sofifa.org/players/4/19/236437.png,England,https://cdn.sofifa.org/flags/14.png,77,https://cdn.sofifa.org/teams/2/light/15015.png,270000.0,1542,Right,1.0,3.0,2.0,No,9.0,"Aug 1, 2016",5.6,70.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,57.0,57.0,57.0,58.0,55.0,53.0,53.0,53.0,55.0,54.0,50.0,50.0,50.0,54.0,44.0,62.0,49.0,60.0,41.0,58.0,43.0,36.0,57.0,57.0,65.0,65.0,67.0,54.0,71.0,56.0,63.0,67.0,53.0,44.0,31.0,45.0,51.0,52.0,59.0,49.0,41.0,50.0,50.0,14.0,6.0,14.0,10.0,7.0,Medium, Medium
14715,238103,Liu Junshuai,23,https://cdn.sofifa.org/players/4/19/238103.png,China PR,https://cdn.sofifa.org/flags/155.png,68,https://cdn.sofifa.org/teams/2/light/111724.png,260000.0,1283,Right,1.0,2.0,2.0,No,3.0,"Feb 5, 2017",6.1,80.0,38.0,38.0,38.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,35.0,37.0,37.0,37.0,35.0,50.0,51.0,51.0,51.0,50.0,54.0,60.0,60.0,60.0,54.0,21.0,20.0,55.0,26.0,28.0,20.0,29.0,23.0,35.0,36.0,51.0,63.0,62.0,49.0,55.0,35.0,72.0,71.0,76.0,22.0,56.0,56.0,25.0,27.0,33.0,51.0,67.0,63.0,58.0,6.0,13.0,9.0,8.0,13.0,Medium, Medium
2367,213134,L. Öztunalı,22,https://cdn.sofifa.org/players/4/19/213134.png,Germany,https://cdn.sofifa.org/flags/21.png,80,https://cdn.sofifa.org/teams/2/light/169.png,7500000.0,1909,Right,1.0,3.0,3.0,No,8.0,"Aug 25, 2016",6.0,80.0,72.0,72.0,72.0,74.0,74.0,74.0,74.0,74.0,73.0,73.0,73.0,75.0,70.0,70.0,70.0,75.0,64.0,61.0,61.0,61.0,64.0,62.0,56.0,56.0,56.0,62.0,70.0,65.0,54.0,67.0,63.0,80.0,78.0,73.0,67.0,75.0,79.0,86.0,73.0,71.0,68.0,73.0,66.0,72.0,73.0,63.0,57.0,54.0,72.0,66.0,58.0,69.0,33.0,48.0,42.0,10.0,16.0,13.0,15.0,9.0,Medium, Medium
12419,226139,J. Tamimi,23,https://cdn.sofifa.org/players/4/19/226139.png,Jordan,https://cdn.sofifa.org/flags/164.png,70,https://cdn.sofifa.org/teams/2/light/1596.png,425000.0,1653,Right,1.0,3.0,2.0,No,22.0,"Feb 11, 2018",5.9,75.0,55.0,55.0,55.0,59.0,57.0,57.0,57.0,59.0,57.0,57.0,57.0,60.0,57.0,57.0,57.0,60.0,64.0,60.0,60.0,60.0,64.0,63.0,60.0,60.0,60.0,63.0,60.0,36.0,48.0,59.0,45.0,62.0,62.0,49.0,53.0,65.0,70.0,75.0,71.0,60.0,70.0,60.0,71.0,75.0,60.0,46.0,57.0,55.0,43.0,42.0,33.0,49.0,63.0,55.0,58.0,9.0,10.0,9.0,15.0,7.0,Medium, Medium
7388,233409,R. Gumny,20,https://cdn.sofifa.org/players/4/19/233409.png,Poland,https://cdn.sofifa.org/flags/37.png,84,https://cdn.sofifa.org/teams/2/light/873.png,1800000.0,1621,Right,1.0,3.0,2.0,No,2.0,"Jan 1, 2016",5.10,60.91,52.0,52.0,52.0,62.0,58.0,58.0,58.0,62.0,61.0,61.0,61.0,64.0,61.0,61.0,61.0,64.0,69.0,64.0,64.0,64.0,69.0,68.0,63.0,63.0,63.0,68.0,62.0,28.0,50.0,67.0,25.0,60.0,53.0,31.0,52.0,68.0,91.0,82.0,75.0,61.0,68.0,26.0,63.0,73.0,66.0,30.0,45.0,64.0,48.0,56.0,38.0,66.0,58.0,69.0,64.0,11.0,6.0,13.0,12.0,6.0,High, High
16067,244360,D. Riccardi,22,https://cdn.sofifa.org/players/4/19/244360.png,Italy,https://cdn.sofifa.org/flags/27.png,69,https://cdn.sofifa.org/teams/2/light/347.png,190000.0,1261,Right,1.0,3.0,2.0,No,2.0,"Jul 1, 2018",6.2,73.18,40.0,40.0,40.0,38.0,38.0,38.0,38.0,38.0,37.0,37.0,37.0,39.0,38.0,38.0,38.0,39.0,50.0,50.0,50.0,50.0,50.0,53.0,59.0,59.0,59.0,53.0,26.0,26.0,45.0,30.0,30.0,32.0,22.0,23.0,28.0,43.0,60.0,70.0,41.0,48.0,55.0,35.0,68.0,54.0,77.0,19.0,64.0,52.0,21.0,35.0,37.0,46.0,59.0,62.0,58.0,9.0,7.0,8.0,7.0,10.0,Medium, Medium
2471,198331,M. Vydra,26,https://cdn.sofifa.org/players/4/19/198331.png,Czech Republic,https://cdn.sofifa.org/flags/12.png,76,https://cdn.sofifa.org/teams/2/light/1796.png,7000000.0,1889,Right,1.0,4.0,3.0,No,27.0,"Aug 7, 2018",5.9,71.36,74.0,74.0,74.0,75.0,75.0,75.0,75.0,75.0,74.0,74.0,74.0,74.0,67.0,67.0,67.0,74.0,58.0,54.0,54.0,54.0,58.0,56.0,48.0,48.0,48.0,56.0,64.0,78.0,59.0,69.0,70.0,70.0,69.0,64.0,60.0,74.0,86.0,83.0,80.0,73.0,72.0,72.0,76.0,69.0,60.0,71.0,53.0,31.0,77.0,70.0,79.0,72.0,37.0,28.0,34.0,10.0,11.0,12.0,13.0,15.0,Medium, Medium
14823,235329,J. Gibbons,20,https://cdn.sofifa.org/players/4/19/235329.png,England,https://cdn.sofifa.org/flags/14.png,66,https://cdn.sofifa.org/teams/2/light/1928.png,240000.0,1550,Right,1.0,2.0,2.0,No,2.0,"Apr 27, 2016",5.9,60.0,48.0,48.0,48.0,56.0,52.0,52.0,52.0,56.0,54.0,54.0,54.0,57.0,55.0,55.0,55.0,57.0,61.0,59.0,59.0,59.0,61.0,60.0,61.0,61.0,61.0,60.0,61.0,26.0,52.0,58.0,25.0,59.0,57.0,33.0,50.0,60.0,60.0,74.0,81.0,53.0,72.0,25.0,78.0,63.0,54.0,26.0,79.0,51.0,49.0,48.0,35.0,44.0,62.0,59.0,58.0,6.0,11.0,11.0,6.0,8.0,High, Medium
8634,138722,B. Jones,31,https://cdn.sofifa.org/players/4/19/138722.png,England,https://cdn.sofifa.org/flags/14.png,67,https://cdn.sofifa.org/teams/2/light/1797.png,500000.0,1802,Right,1.0,3.0,3.0,Yes,28.0,"Jul 20, 2018",5.11,77.27,59.0,59.0,59.0,61.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,62.0,63.0,63.0,63.0,62.0,68.0,68.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0,68.0,58.0,53.0,61.0,64.0,45.0,64.0,58.0,59.0,61.0,65.0,60.0,54.0,69.0,67.0,68.0,59.0,73.0,76.0,67.0,60.0,73.0,66.0,44.0,51.0,57.0,61.0,69.0,72.0,71.0,6.0,11.0,14.0,12.0,15.0,High, Medium
10092,209447,E. Hooi,26,https://cdn.sofifa.org/players/4/19/209447.png,Curacao,https://cdn.sofifa.org/flags/85.png,65,https://cdn.sofifa.org/teams/2/light/650.png,575000.0,1601,Right,1.0,3.0,3.0,No,77.0,"Jul 20, 2017",5.7,60.91,62.0,62.0,62.0,67.0,65.0,65.0,65.0,67.0,64.0,64.0,64.0,66.0,56.0,56.0,56.0,66.0,50.0,43.0,43.0,43.0,50.0,47.0,37.0,37.0,37.0,47.0,62.0,53.0,56.0,61.0,56.0,68.0,62.0,42.0,51.0,65.0,93.0,90.0,82.0,60.0,78.0,61.0,72.0,52.0,32.0,47.0,49.0,18.0,57.0,55.0,53.0,58.0,22.0,19.0,21.0,16.0,16.0,12.0,9.0,11.0,Medium, Medium
5685,206604,C. Labrín,27,https://cdn.sofifa.org/players/4/19/206604.png,Chile,https://cdn.sofifa.org/flags/55.png,71,https://cdn.sofifa.org/teams/2/light/101097.png,1000000.0,1469,Right,1.0,2.0,2.0,No,2.0,"May 27, 2015",5.11,81.36,46.0,46.0,46.0,42.0,43.0,43.0,43.0,42.0,43.0,43.0,43.0,44.0,47.0,47.0,47.0,44.0,58.0,60.0,60.0,60.0,58.0,61.0,69.0,69.0,69.0,61.0,31.0,22.0,67.0,48.0,26.0,38.0,36.0,28.0,36.0,48.0,55.0,55.0,53.0,64.0,49.0,48.0,75.0,59.0,81.0,37.0,75.0,65.0,25.0,32.0,41.0,66.0,68.0,72.0,68.0,15.0,15.0,15.0,10.0,12.0,Low, High
13579,214679,H. Gjesdal,24,https://cdn.sofifa.org/players/4/19/214679.png,Norway,https://cdn.sofifa.org/flags/36.png,68,https://cdn.sofifa.org/teams/2/light/113459.png,350000.0,1358,Left,1.0,2.0,2.0,No,25.0,"Feb 1, 2017",6.4,87.27,46.0,46.0,46.0,44.0,45.0,45.0,45.0,44.0,46.0,46.0,46.0,45.0,48.0,48.0,48.0,45.0,51.0,56.0,56.0,56.0,51.0,53.0,62.0,62.0,62.0,53.0,28.0,26.0,63.0,54.0,32.0,49.0,30.0,31.0,46.0,52.0,50.0,46.0,45.0,53.0,42.0,34.0,74.0,34.0,80.0,24.0,55.0,58.0,38.0,36.0,34.0,53.0,59.0,62.0,59.0,12.0,14.0,14.0,15.0,9.0,Low, Medium
9053,193087,P. Tomasik,30,https://cdn.sofifa.org/players/4/19/193087.png,Poland,https://cdn.sofifa.org/flags/37.png,66,https://cdn.sofifa.org/teams/2/light/873.png,475000.0,1785,Left,1.0,3.0,2.0,No,77.0,"Feb 1, 2018",5.10,72.27,58.0,58.0,58.0,62.0,61.0,61.0,61.0,62.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,67.0,65.0,65.0,65.0,67.0,66.0,64.0,64.0,64.0,66.0,67.0,40.0,52.0,64.0,50.0,56.0,40.0,66.0,59.0,59.0,71.0,68.0,71.0,63.0,71.0,63.0,70.0,80.0,70.0,61.0,66.0,62.0,57.0,70.0,48.0,60.0,58.0,65.0,65.0,11.0,6.0,7.0,15.0,14.0,High, Medium
11406,171620,A. Wordsworth,29,https://cdn.sofifa.org/players/4/19/171620.png,England,https://cdn.sofifa.org/flags/14.png,64,https://cdn.sofifa.org/teams/2/light/112259.png,425000.0,1741,Left,1.0,4.0,2.0,No,40.0,"Jul 12, 2018",6.1,76.36,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,60.0,58.0,58.0,58.0,60.0,58.0,54.0,54.0,54.0,58.0,65.0,62.0,63.0,65.0,63.0,62.0,65.0,66.0,65.0,65.0,57.0,66.0,59.0,59.0,55.0,67.0,50.0,76.0,68.0,65.0,45.0,48.0,64.0,66.0,64.0,68.0,42.0,48.0,45.0,8.0,9.0,16.0,7.0,16.0,High, Medium
18076,244653,T. Kawamura,18,https://cdn.sofifa.org/players/4/19/244653.png,Japan,https://cdn.sofifa.org/flags/163.png,61,https://cdn.sofifa.org/teams/2/light/113157.png,50000.0,1430,Left,1.0,2.0,2.0,No,29.0,"Jan 1, 2018",5.11,70.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,50.0,50.0,51.0,51.0,51.0,50.0,42.0,36.0,54.0,60.0,50.0,42.0,45.0,41.0,53.0,49.0,63.0,58.0,56.0,53.0,61.0,61.0,63.0,43.0,50.0,46.0,50.0,41.0,46.0,47.0,37.0,41.0,53.0,45.0,44.0,5.0,10.0,7.0,10.0,9.0,Medium, Medium
1119,183483,K. Mitroglou,30,https://cdn.sofifa.org/players/4/19/183483.png,Greece,https://cdn.sofifa.org/flags/22.png,77,https://cdn.sofifa.org/teams/2/light/219.png,8500000.0,1740,Left,3.0,3.0,3.0,No,11.0,"Aug 31, 2017",6.2,86.36,78.0,78.0,78.0,71.0,74.0,74.0,74.0,71.0,71.0,71.0,71.0,70.0,65.0,65.0,65.0,70.0,48.0,49.0,49.0,49.0,48.0,44.0,45.0,45.0,45.0,44.0,60.0,78.0,81.0,66.0,76.0,69.0,72.0,71.0,59.0,72.0,53.0,62.0,47.0,74.0,34.0,83.0,76.0,63.0,86.0,72.0,75.0,10.0,78.0,68.0,61.0,83.0,13.0,18.0,10.0,12.0,7.0,10.0,8.0,16.0,Medium, Low
15561,242812,K. Ødemarksbakken,22,https://cdn.sofifa.org/players/4/19/242812.png,Norway,https://cdn.sofifa.org/flags/36.png,67,https://cdn.sofifa.org/teams/2/light/299.png,230000.0,1546,Right,1.0,3.0,2.0,No,17.0,"Jan 12, 2018",5.11,72.27,56.0,56.0,56.0,59.0,58.0,58.0,58.0,59.0,58.0,58.0,58.0,59.0,55.0,55.0,55.0,59.0,53.0,51.0,51.0,51.0,53.0,52.0,48.0,48.0,48.0,52.0,54.0,52.0,45.0,56.0,40.0,58.0,55.0,38.0,51.0,57.0,72.0,71.0,68.0,50.0,65.0,56.0,55.0,59.0,52.0,50.0,55.0,40.0,58.0,54.0,46.0,53.0,38.0,45.0,44.0,8.0,15.0,13.0,13.0,13.0,Medium, Medium
3313,237086,Kim Min Jae,21,https://cdn.sofifa.org/players/4/19/237086.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,79,https://cdn.sofifa.org/teams/2/light/1477.png,3800000.0,1570,Right,1.0,2.0,2.0,No,3.0,"Jan 1, 2017",6.2,88.18,50.0,50.0,50.0,48.0,49.0,49.0,49.0,48.0,51.0,51.0,51.0,50.0,56.0,56.0,56.0,50.0,62.0,67.0,67.0,67.0,62.0,65.0,72.0,72.0,72.0,65.0,25.0,23.0,74.0,59.0,24.0,34.0,21.0,23.0,59.0,47.0,71.0,71.0,67.0,68.0,65.0,44.0,68.0,68.0,84.0,37.0,78.0,73.0,37.0,56.0,30.0,64.0,64.0,73.0,71.0,13.0,7.0,11.0,14.0,11.0,Medium, High
16915,240310,A. Eichhorn,19,https://cdn.sofifa.org/players/4/19/240310.png,Germany,https://cdn.sofifa.org/flags/21.png,66,https://cdn.sofifa.org/teams/2/light/110169.png,120000.0,1426,Right,1.0,3.0,2.0,No,19.0,"Aug 1, 2017",5.8,65.0,44.0,44.0,44.0,49.0,46.0,46.0,46.0,49.0,48.0,48.0,48.0,51.0,48.0,48.0,48.0,51.0,56.0,52.0,52.0,52.0,56.0,56.0,52.0,52.0,52.0,56.0,49.0,24.0,45.0,51.0,33.0,46.0,34.0,35.0,44.0,52.0,75.0,69.0,83.0,41.0,78.0,42.0,62.0,66.0,42.0,24.0,50.0,49.0,39.0,42.0,44.0,42.0,50.0,58.0,56.0,7.0,6.0,8.0,7.0,15.0,Medium, Medium
6531,211691,R. Weil,30,https://cdn.sofifa.org/players/4/19/211691.png,Germany,https://cdn.sofifa.org/flags/21.png,69,https://cdn.sofifa.org/teams/2/light/110588.png,775000.0,1690,Right,1.0,4.0,2.0,No,17.0,"Jan 30, 2017",6.0,81.36,55.0,55.0,55.0,57.0,57.0,57.0,57.0,57.0,59.0,59.0,59.0,60.0,62.0,62.0,62.0,60.0,66.0,67.0,67.0,67.0,66.0,66.0,69.0,69.0,69.0,66.0,59.0,38.0,62.0,68.0,28.0,56.0,26.0,32.0,56.0,65.0,62.0,55.0,62.0,66.0,67.0,58.0,90.0,70.0,79.0,39.0,70.0,68.0,39.0,58.0,63.0,68.0,64.0,66.0,66.0,7.0,12.0,15.0,14.0,10.0,Medium, High
8879,243991,Valverde,33,https://cdn.sofifa.org/players/4/19/243991.png,Spain,https://cdn.sofifa.org/flags/45.png,66,https://cdn.sofifa.org/teams/2/light/469.png,400000.0,1551,Right,1.0,3.0,3.0,No,7.0,"Jul 1, 2017",5.9,67.27,61.0,61.0,61.0,67.0,65.0,65.0,65.0,67.0,64.0,64.0,64.0,66.0,59.0,59.0,59.0,66.0,50.0,46.0,46.0,46.0,50.0,46.0,36.0,36.0,36.0,46.0,66.0,60.0,32.0,63.0,54.0,67.0,62.0,50.0,60.0,65.0,79.0,81.0,66.0,61.0,60.0,61.0,64.0,62.0,39.0,60.0,53.0,24.0,63.0,50.0,50.0,58.0,18.0,25.0,15.0,9.0,7.0,7.0,13.0,5.0,Medium, Medium
18199,244677,M. Baldisimo,18,https://cdn.sofifa.org/players/4/19/244677.png,Canada,https://cdn.sofifa.org/flags/70.png,69,https://cdn.sofifa.org/teams/2/light/101112.png,70000.0,1303,Right,1.0,3.0,2.0,No,65.0,"Jul 17, 2018",5.6,68.18,44.0,44.0,44.0,45.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,49.0,50.0,50.0,50.0,49.0,49.0,50.0,50.0,50.0,49.0,31.0,31.0,41.0,51.0,26.0,46.0,35.0,31.0,55.0,47.0,60.0,63.0,53.0,46.0,55.0,49.0,57.0,42.0,43.0,30.0,53.0,49.0,35.0,40.0,36.0,40.0,48.0,49.0,49.0,7.0,7.0,9.0,14.0,15.0,Medium, High
15710,227791,Lee Tae Hee,26,https://cdn.sofifa.org/players/4/19/227791.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,59,https://cdn.sofifa.org/teams/2/light/2055.png,130000.0,1545,Right,1.0,3.0,2.0,No,24.0,"May 3, 2018",6.0,75.0,54.0,54.0,54.0,56.0,55.0,55.0,55.0,56.0,55.0,55.0,55.0,57.0,55.0,55.0,55.0,57.0,59.0,58.0,58.0,58.0,59.0,60.0,59.0,59.0,59.0,60.0,51.0,35.0,59.0,57.0,24.0,57.0,34.0,28.0,57.0,51.0,73.0,69.0,65.0,52.0,75.0,48.0,63.0,64.0,59.0,35.0,60.0,54.0,62.0,47.0,35.0,57.0,56.0,58.0,60.0,13.0,10.0,8.0,13.0,13.0,High, Medium
7219,193939,B. Kee,27,https://cdn.sofifa.org/players/4/19/193939.png,Northern Ireland,https://cdn.sofifa.org/flags/35.png,68,https://cdn.sofifa.org/teams/2/light/110313.png,950000.0,1718,Right,1.0,3.0,2.0,No,29.0,"Aug 2, 2015",5.9,72.27,68.0,68.0,68.0,63.0,65.0,65.0,65.0,63.0,64.0,64.0,64.0,62.0,59.0,59.0,59.0,62.0,49.0,51.0,51.0,51.0,49.0,47.0,49.0,49.0,49.0,47.0,48.0,68.0,67.0,61.0,61.0,58.0,45.0,51.0,53.0,66.0,55.0,62.0,73.0,67.0,84.0,71.0,74.0,75.0,86.0,63.0,78.0,19.0,67.0,58.0,69.0,67.0,40.0,23.0,21.0,13.0,15.0,9.0,10.0,8.0,Medium, Medium
18174,243900,S. Adewusi,18,https://cdn.sofifa.org/players/4/19/243900.png,Nigeria,https://cdn.sofifa.org/flags/133.png,63,https://cdn.sofifa.org/teams/2/light/1480.png,60000.0,1370,Right,1.0,3.0,3.0,No,24.0,"Jul 1, 2018",6.1,73.18,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,50.0,49.0,48.0,48.0,48.0,49.0,48.0,47.0,47.0,47.0,48.0,38.0,34.0,49.0,54.0,34.0,49.0,33.0,37.0,50.0,41.0,67.0,61.0,61.0,46.0,59.0,50.0,56.0,64.0,55.0,35.0,52.0,39.0,46.0,45.0,36.0,44.0,44.0,40.0,41.0,6.0,14.0,9.0,13.0,12.0,Medium, Medium
5044,191566,Park Joo Ho,31,https://cdn.sofifa.org/players/4/19/191566.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,70,https://cdn.sofifa.org/teams/2/light/1473.png,1500000.0,1897,Left,1.0,3.0,3.0,No,33.0,"Jan 5, 2017",5.9,71.36,60.0,60.0,60.0,67.0,65.0,65.0,65.0,67.0,68.0,68.0,68.0,69.0,71.0,71.0,71.0,69.0,73.0,73.0,73.0,73.0,73.0,72.0,70.0,70.0,70.0,72.0,70.0,31.0,51.0,73.0,42.0,72.0,71.0,59.0,72.0,73.0,75.0,66.0,77.0,73.0,77.0,67.0,73.0,67.0,66.0,52.0,59.0,73.0,53.0,70.0,62.0,74.0,64.0,76.0,75.0,8.0,11.0,13.0,13.0,13.0,Medium, Medium
9995,205072,D. Pedersen,25,https://cdn.sofifa.org/players/4/19/205072.png,Denmark,https://cdn.sofifa.org/flags/13.png,69,https://cdn.sofifa.org/teams/2/light/299.png,600000.0,1702,Right,1.0,3.0,2.0,No,23.0,"Aug 7, 2018",6.1,74.09,56.0,56.0,56.0,58.0,57.0,57.0,57.0,58.0,59.0,59.0,59.0,60.0,61.0,61.0,61.0,60.0,65.0,65.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,65.0,57.0,41.0,64.0,65.0,39.0,55.0,39.0,40.0,62.0,62.0,66.0,73.0,71.0,54.0,72.0,53.0,74.0,78.0,72.0,51.0,70.0,63.0,46.0,53.0,37.0,55.0,61.0,64.0,62.0,16.0,7.0,12.0,10.0,13.0,Medium, Medium
8176,233849,A. D'Alberto,23,https://cdn.sofifa.org/players/4/19/233849.png,Belgium,https://cdn.sofifa.org/flags/7.png,72,https://cdn.sofifa.org/teams/2/light/1900.png,850000.0,1693,Right,1.0,2.0,2.0,No,82.0,"Jul 1, 2018",5.10,74.09,55.0,55.0,55.0,60.0,57.0,57.0,57.0,60.0,57.0,57.0,57.0,62.0,59.0,59.0,59.0,62.0,68.0,64.0,64.0,64.0,68.0,68.0,67.0,67.0,67.0,68.0,66.0,28.0,57.0,61.0,34.0,66.0,60.0,39.0,54.0,62.0,74.0,78.0,65.0,62.0,71.0,48.0,77.0,70.0,67.0,32.0,65.0,65.0,55.0,43.0,46.0,59.0,64.0,67.0,68.0,7.0,7.0,9.0,12.0,14.0,Medium, Medium
4994,204353,C. Forsyth,29,https://cdn.sofifa.org/players/4/19/204353.png,Scotland,https://cdn.sofifa.org/flags/42.png,70,https://cdn.sofifa.org/teams/2/light/91.png,1300000.0,1841,Left,1.0,3.0,2.0,No,3.0,"Jul 1, 2013",6.2,83.18,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,65.0,65.0,65.0,67.0,66.0,66.0,66.0,67.0,70.0,68.0,68.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,73.0,61.0,70.0,61.0,53.0,65.0,55.0,53.0,60.0,70.0,63.0,64.0,58.0,64.0,55.0,69.0,78.0,76.0,73.0,66.0,57.0,68.0,61.0,62.0,50.0,64.0,68.0,72.0,70.0,13.0,7.0,7.0,12.0,7.0,Medium, Medium
